OD1
250.488
99.375
90.445
90.971
90.551
90.989
89.124
90.914
89.13
88.502
88.966
89
87.42
89.158
89.562
90.531
88.922
89.203
89.601
87.417
90.102
89.728
89.355
89.02
90.232
90.956
92.6
93.39
95.075
104.634
121.183
109.152
92.298
88.821
87.496
88.15
89.127
89.011
90.559
88.168
88.799
89.929
91.756
92.821
91.019
90.634
90.121
89.138
88.188
88.995
90.023
91.879
91.084
91.001
90.065
88.125
88.034
89.879
90.938
91
90.007
90.671
92.78
91.289
90.918
90.784
89.933
89.992
89.196
86.484
88.201
88.959
88.407
87.478
88.899
89.736
89.26
89.236
89.722
89.479
89.212
91.721
92.119
91.727
91.113
92.919
92.384
92.338
91.694
91.302
91.259
89.497
89.962
89.816
90.375
89.485
90.902
92.044
90.643
91.039
90.559
88.244
89.877
92.803
90.186
88.076
87.995
87.487
88.38
87.774
87.688
90.79
89.686
91.688
91.054
90.757
89.182
90.924
90.382
90.958
90.361
89.73
90.26
92.162
91.599
89.658
92.061
92.262
90.806
89.527
88.492
90.092
91.132
92.121
91.236
90.857
90.196
91.484
91.038
91.71
91.882
94.617
91.239
88.337
89.142
90.171
90.104
91.88
90.099
89.949
89.999
90.941
91.013
91.961
92.94
95.604
91.193
90.87
91.999
93.8
94.661
93.743
91.993
93.748
92.375
93.095
94.736
92.335
92.179
91.252
91.95
91.26
92.889
93
90.64
91.906
92.938
95.046
91.401
91.282
92.526
92.039
91.671
92.917
88.96
90.253
90.709
92.507
92.038
92.014
89.915
94.98
93.544
92.616
93.489
93.11
91.626
93.433
91.618
91.031
91.479
91.521
92.41
96.48
93.65
91.27
92.747
91.115
91.938
92.762
93.205
93.367
93.618
93.978
96.197
96.021
94.125
90.308
93.472
93.318
93.955
92.808
92.291
92.483
94.358
92.66
94.23
93.631
94.348
94.377
97.772
99.718
97.325
94.472
94.955
95.938
96.217
95.815
95.988
96.858
96.995
98.875
99.887
100.894
101.905
102.894
103.936
107.742
108.947
109.939
110.965
111.077
115.694
117.648
118.986
121.741
122.166
123.792
124.825
124.762
127.796
129.875
132.019
134.039
135.112
135.358
140.649
143.812
143.265
145.827
146.938
149.107
151.132
152.707
155.125
156.226
158.174
158.889
161.81
162.309
161.702
160.761
164.134
165.416
166.908
168.14
169.51
169.587
169.433
169.309
171.312
171.028
172.004
172.941
173
172.055
170.114
172.81
172.557
173.405
172.515
171.613
172.911
171.273
173.991
176.074
177.889
180.456
183.198
188.984
195.627
206.617
211.386
189.642
156.699
180.732
206.807
180.577
157.231
192.089
210.906
209.905
204.878
195.197
185.409
181.238
176.312
171.636
171.172
172.089
172.274
172.139
172.945
174.772
172.932
171.03
170.058
169.871
169.001
168.952
168.095
168.965
167.158
166.995
164.183
164.923
164.975
164.06
161.23
158.243
157.129
155.996
155.057
154.062
151.389
152.063
147.441
146.071
144.783
144.532
141.997
137.977
139.324
135.463
135.013
134.062
132.628
130.868
129.346
126.451
124.398
122.814
120.445
117.492
117.662
116.737
116.671
116.043
114.125
115.187
113.847
113.623
110.598
110.408
111.269
108.339
106.658
105.613
103.665
100.662
102.843
102.983
102.063
101.062
99.615
98.595
96.078
97.35
97.556
96.376
95.084
95.938
96
96.577
94.4
94.017
94.331
96.218
96.021
94.125
93.355
94.804
94.055
91.862
92.414
92.03
93.875
91.676
90.526
93.572
92.854
92.988
95.637
91.634
91.646
92.918
92.863
91.117
91.938
93.767
93.056
93.938
93.141
92.136
93.879
92.224
91.966
91.12
94.712
92.186
91.063
91.946
92.038
92.97
93.041
93.146
91.079
93.674
92.975
92.908
92.897
93.718
92.225
90.51
90.162
88.57
89.123
90.886
92.112
92.38
92.77
92.986
91.338
91.238
91.015
94.719
94.743
92.846
92.044
91.719
91.043
91.337
93.523
91.806
89.828
90.92
93.573
95.282
91.643
91.009
92.871
93.398
90.499
89.187
91.216
93.765
93.551
93.032
92.994
92.09
90.68
91.915
92.794
90.325
91.77
92.929
93.938
92.678
92.6
92.038
90.48
91.553
89.235
89.614
90.916
90.676
88.415
88.588
89.807
94.009
91.721
91.971
91.54
91.237
91.23
90.705
87.627
91.523
94.08
94.443
93.87
90.542
89.878
90.665
90.984
91.825
91.993
93.03
93.943
92.125
89.188
87.34
90.806
91.106
90.092
91.861
92
92
91.986
91.975
91.06
89.212
90.829
92.745
91.115
91.773
90.205
89.171
89.23
91.012
93.276
92.512
92.03
91.84
91.989
92.938
92.062
92.54
92.035
91.281
92.181
93.191
93.759
92.371
92.955
90.741
91.262
91.957
92
92.622
91.103
91.335
93.243
93.149
91.499
91.962
90.508
90.964
91.666
91.567
91.972
92.073
91.562
90.581
87.695
91.248
89.132
87.656
90.225
90.451
91.903
91.062
89.523
87.928
89.863
92.074
92.952
94.987
93.471
90.54
106.6
137.983
123.462
97.065
89.118
88.589
88.972
91.812
91.305
90.782
95.002
92.717
90.364
90.207
90.765
89.526
89.636
89.979
89.208
89.811
89.992
90.117
89.283
91.631
90.876
90.99
91.801
90.938
89.959
86.323
88.787
92.71
244.874
255
