Z [inches],OD1,OD2,OD3,OD4,OD5
0.9650,106.658,107.073,107.056,107.688,106.520
0.9675,105.613,106.006,105.387,107.000,105.808
0.9700,103.665,103.039,102.228,104.000,103.885
0.9725,100.662,101.018,102.007,102.332,99.047
0.9750,102.843,102.994,104.758,105.000,102.595
0.9775,102.983,104.026,103.957,106.038,104.524
0.9800,102.063,101.047,101.906,103.353,101.187
0.9825,101.062,100.008,100.639,101.079,101.618
0.9850,99.615,98.058,99.561,100.000,99.773
0.9875,98.595,98.000,98.322,98.627,97.288
0.9900,96.078,98.870,97.445,97.240,96.340
0.9925,97.350,100.773,97.929,99.000,96.147
0.9950,97.556,97.945,97.261,98.606,97.078
0.9975,96.376,96.104,95.574,98.000,96.891
1.0000,95.084,94.115,95.945,95.407,94.366
1.0025,95.938,95.983,96.667,94.757,94.110
1.0050,96.000,97.753,97.352,97.000,96.172
1.0075,96.577,93.907,96.419,97.144,95.931
1.0100,94.400,94.131,94.423,96.435,94.102
1.0125,94.017,94.142,94.523,95.442,94.066
1.0150,94.331,95.682,96.124,95.103,94.061
1.0175,96.218,93.503,96.929,97.000,96.194
1.0200,96.021,97.617,95.415,96.538,95.068
1.0225,94.125,94.853,94.520,93.469,94.054
1.0250,93.355,93.824,95.056,95.000,94.000
1.0275,94.804,93.397,95.426,94.965,94.929
1.0300,94.055,93.993,93.954,95.489,94.982
1.0325,91.862,92.801,92.719,94.007,92.162
1.0350,92.414,93.325,93.320,93.000,91.063
1.0375,92.030,93.004,94.528,94.510,92.892
1.0400,93.875,93.238,93.186,94.517,92.079
1.0425,91.676,92.263,91.199,91.953,89.263
1.0450,90.526,91.492,91.739,91.470,89.952
1.0475,93.572,93.244,93.173,94.851,91.939
1.0500,92.854,93.004,94.080,94.000,93.005
1.0525,92.988,93.986,95.630,94.102,92.189
1.0550,95.637,94.986,94.704,96.442,94.696
1.0575,91.634,93.416,92.743,94.435,93.102
1.0600,91.646,92.020,92.940,93.000,91.111
1.0625,92.918,92.000,94.151,94.578,91.098
